Date,Value,Anomaly
201301,42.1,-3.9
201302,45.3,-2.7
201303,53.8,1.8
201304,58.2,0.9
201305,63.8,1.2
201306,72.4,0.2
201307,78,0.7
201308,74.4,-2.1
201309,69.3,-1.6
201310,58.5,-3.5
201311,51.9,0
201312,44.1,-0.8
201401,50.1,4.1
201402,49.8,1.8
201403,53.5,1.5
201404,57.7,0.4
201405,64.6,2
201406,71.9,-0.3
201407,78.4,1.1
201408,74.9,-1.6
201409,72.2,1.3
201410,64.4,2.4
201411,53.1,1.2
201412,46.8,1.9
201501,48.6,2.6
201502,53.2,5.2
201503,56.9,4.9
201504,56.7,-0.6
201505,60.8,-1.8
201506,74.4,2.2
201507,75,-2.3
201508,76.5,0
201509,72.1,1.2
201510,65,3
201511,47.6,-4.3
201512,42.3,-2.6
201601,44.5,-1.5
201602,51.8,3.8
201603,52.5,0.5
201604,57.9,0.6
201605,62.2,-0.4
201606,73.5,1.3
201607,76.8,-0.5
201608,76.2,-0.3
201609,69.5,-1.4
201610,60.5,-1.5
201611,52.8,0.9
201612,43.4,-1.5
201701,42.2,-3.8
201702,47.3,-0.7
201703,53.4,1.4
201704,55.6,-1.7
201705,63.4,0.8
201706,72.8,0.6
201707,78.8,1.5
201708,77.9,1.4
201709,69.8,-1.1
201710,62,0
201711,53.4,1.5
201712,47.5,2.6
201801,48.9,2.9
201802,46.6,-1.4
201803,49,-3
201804,57.2,-0.1
201805,63,0.4
201806,71.4,-0.8
201807,79.6,2.3
201808,76.4,-0.1
201809,71.1,0.2
201810,60.9,-1.1
201811,52.6,0.7
201812,44.8,-0.1
201901,46.1,0.1
201902,40.6,-7.4
201903,48.9,-3.1
201904,58.2,0.9
201905,58.6,-4
201906,71.1,-1.1
201907,75.5,-1.8
201908,76.8,0.3
201909,68.9,-2
201910,58.8,-3.2
201911,53,1.1
201912,44.4,-0.5
